text,E,N,A,C,O
انها تجربة حياة فدراستي الجامعية ساهمت بشكل كبير تطور شخصيتي تلميذ متكاسل الى طالب مجتهد يحاول الانضباط الانضباط خلال الحصص الدراسية التركيز شرح الاستاذ افهم جيدا دروسي فبالرغم عدم اشتغالي مراجعتي للدروس يوميا فهمي الجيد لشرح الاستاذ ساعدني بشكل كبير تطوير مستواي الدراسي التحصل نقط ارتفاع مستمر,0,1,1,0,0
الدراسة الجامعة زيادة اهميتها تلقيني المعارف التقنيات الاساسية المتعلقة بالتخصص اخترته فقد شكلت الفترة نافذة انفتحت خلالها اشخاص بعقليات ثقافات مختلفة مدن مختلفة دول اخرى تجربة العمل اجهت بدايتها صعوبات كثيرة يتعلق بمدى تطبيق ماهو نظري ارض الواقع ميدان العمل اشتغل للاسف يندر الاخلاص الاثقان يكثر الغش الكذب الرشاوي احس الايام الاسابيع تمر بسرعة غريبة بروتين ممل,0,1,1,1,0
التقدم العمر تنظج اكثر تتغير نظرتك للامور تبقى سطحيا حكمك الاشياء يصبح اهم شيء لديك راحتك النفسية سلامة محيطكو التقدم العمر تنظج اكثر تتغير نظرتك للامور تبقى سطحيا حكمك الاشياء يصبح اهم شيء لديك راحتك النفسية سلامة محيطك,0,0,1,0,1
دراستي مرت بضروف صعبة رغم الفقر الحاجة لحدود مازلنا نكافح نقضي اليوم بكثير الامل لمستقبل زاهر لحال افضل ففي عطلة اسافر للعمل مجال البناء ذالك الفقر الحاجة يمنع يوما السير ذالك الهدف المنشود الحل الوحيد للخروج دوامة الفقر ترقيع الوضعية حصولي الاجازة طرقنا الابواب للحصول مصدر الوضائف بالماستر بعدها دخلت غماره حصولي طرقت الابواب لزلت ذالك رايت موضوع بحث مجال جديد افهم شيء البداية بعدها قمت ببحث معمق ادركت مهم للغاية دفعت لتلك الاطروحة نجحت لزلت اكافح,0,1,0,1,0
ظيفتي كمدرسة تاثير شخصيتي بالاضافة الى تاثيرها البيئة حولي انها تتطلب العديد المتطلبات للنجاح اهمها الصدق الامانة التسامح العدالة تقدير الجهد البشري ضعها النصاب القانوني الصحيح بالاضافة الى الاهتمام بكل جديد متطور عمل ادوات ابحاث دراسات اهم الامر حب العمل طلب رضا الله تعالى,1,0,1,1,1
السلام عليكم بداية الموسم الدراسي لمست تغيرا كبيرا رغبتي حيويتي المعهودة لبتث دخلت سواس توتر بسبب الام الراس المعدة فسرها الاطباء بانها نفسية انعكست جودة نومي مردوديتي العمل طبعا زاد انعزالي كسلي عدم الانخراط مجموعة الاعمال المفيدة يمكنكم تحليل شخصيتي ايجاد الحلول الملاءمة لتقويتها تنميتها بالتالي تحسين الانتاجية العمل الدراسة شكرا,0,1,0,0,0
لنتكلم سنوات الدراسة بالجامعة فهي احب فترات حياتي الى قلبي تغيرت بشكل كبير بالاحرى نضجت بشكل كبير نظرا لتعدد التجارب مررت بهاجربت شعور النجاح التميز شعور الفشل الاحباطكونت علاقات اجتماعية قليلة لكنها مازالت مستمرة تعرفت نقط ضعفي قوتيكل مني الشخص اليوم ممتنة لكل حاولت اختصر امكن فانه يمكنني التعبير سنوات حياتي سطرين اسبوعيوالذي ينته فانه متعب نوعا مااقوم بالكثير العمل القليل الراحة لكنني سعيدة اقوم اشعر بانني نعمة نيل المطالب بالتمني تؤخذ الدنيا غلاباا اصل مبتغاي سانسى التعبالحمد لله اكتب الكلمات استراحة ساعود الى العمل الانوفقني الله اياك,0,1,0,1,1
الدراسة البحث العلمي يحتاج الى الصبر النفس الطويل الالتزام ببرنامج يومي التماطل تطبيقه الابتعاد القلق التعصب الاشخاص السلبيين التركيزعلى تحقيق هدف محدد بشتى الطرق الشعور بالاحباط,1,1,1,0,0
السلام عليكم ساتحدث قليلا تجربتي مسار الدكتوراه بالاخص بصدد متابعتها السنة الخامسة ساقول رايي بصراحة يعود الزمن لوراء اخوض تجربة انهاء الدكتوراه مستوى جميل قيمة كنت طالب حاصل دكتوراه فهي قيمة مضافة الينا كطلبة صعوباتها المتعددة تعد تحصى تجعل مني شخصا مكتئبا العديد المرات اولا مستوى تعامل الاستاذ المشرف ثانيا المستوى المادي الدراسات العليا مجموعة التخصصات تخصص البيولوجيا نحتاج كطلبة مجموعة الادوات المعدات تتوفر عليها طلبها نسمع مجموعة الاجوبة نقوم بطلبها بانفسنا المهم الحصول الدكتوراه شيئ جميل سبيل تحقيق طموح شخص يحبك يريد رؤيتك مناصب راقية ظروف العمل ياخذ منا الكثير الوقت قلت الزمان تابعتها كنت سابحث عمل بالاول بعدها انهي دراستي رايي,0,1,1,0,0
كانت تجربتي الجامعية متميزة رغم الصعاب رغم العثرات لحظات السوادكنت متيقنة شيء سيكون يرام نهاية المطاف النهاية تنقش اعتاب الزمان بدايات حصر لهاو اخوض تجربة جديدة سلك الدكتوراه يقين تام الغذ اجمل,0,1,0,1,1
التعامل العلاقات السامةهنالك اناس تردد ابداء ملاحضات مدمرة الاخر قصد قصد الامر اخطرنفس الاشخاص تلاحظ فيهم جل اغلب الانتقات جهتها الناس اخرين لماذا الناس تردد استعمال القلم الاحمر البدء العتاب تنتبه لهنيهة تبدء غي انتقاد ذاتهانفس الاشخاص عكست ملاحظاتها لاتتقبل تنزه نفسها,0,1,0,0,0
الحياة الجامعية مدرسة بناء الذات الاحتكاك مجموعة الناس بناء افكار جديدة حول ذاتك خلال وضع النفس مواقف متعددة محاولة التعامل ضعية ضعية,1,1,1,1,0
رحم الله عبدا عرف قدرهان عمل اتقنو عهد اوفىاد عزم صبرو انكسر قامو هاجر يهجروكلما زاد عمره زاد علمهفالعلم خير الزادو خير العلم اله اله,0,0,1,1,0
الحياة مليئة بالاحداث المفاجئات لذا جب علينا نكون دائما مستعدين لكل الاحداث سواء مفرحة محزنة الحياة يجب نعيشها بايجابية بطموح تغذيها الى تصل الى تريد الى تطمح سيلة تسبح العلوم الى اعمق الافكار المعلومات مختلف انحاء العالم,1,0,1,1,1
اكتسبت عدة معارف مكتسبات خلال فترة الدراسة تكوين جيد اهلني الى فهم عدة ظواهر تحسين طريقة التفكير حل المشاكل الشخصية المهنية كدا الوثوق بالدات اكتساب شخصية قوية,0,0,0,1,1
التقيتها كانت دافئة المبسميعلو وجهها الحشمة المغرية عيناها بريق مزيج حنان الحبيبة دفئ الام جميلة حنونة استقبلتني بلهفة بحفاوة بشوق حب غامر كنت التائه الضائع عروق يدها بريق ابتسامتها ثنايا تفاصيلها,1,0,1,1,1
الافضل اكتب بدات بالكتابة فلن اتوقف ينتهي حبر قلمي اجابتي باختصار المدرسة المغربية مصنع لانتاج اناس اشخاص مؤهلين لسوق الشغل اعتمد فقط المدرسة فكن متاكدا سيبقى مكانه,1,0,1,1,1
توصلت برسالتكم عبر الايميل ترددت فتحها لان احيانا للاسف يبعث الطلبة الباحثون رسائل تزعج المتلقي يسعدني اساهم تطوير عملكم فهذه فرصة اتحدث باللغة العربية لاحظت التكرار الاسئلة المطروحة اعتقد الامر مقصود اكتب باللغة العربية سنوات فاعتذر ركاكة الاسلوب اتمنى التوفيق,1,0,1,1,1
مكنتني الدراسة الجامعية شعبة علوم المعلوميات الفيزياء تحصيل معارف تقنيات مهارات متميزة بالاضافة الى تكوين شخصية متميزة طابع عملي منتظم تمكنت تطوير المهارات خلال عملي كمهندس النظم المدمجة مجال السيارات ذاتية القيادة الطائرات بتوفيق الله تعالى تمكنت بداية تحضير الدكتوراه المجال اتمنى اوفق لتقديمها اسعدت بكتابة الافكار باللغة العربية,1,1,0,1,1
الحفاظ المبادئ يتاتى بالاقتناع الاقتناع يعني نعلم طريق الحفاظ عليها عرة تحتاج الى الصبر اصحاب الخيار قناعة سيتمكنون التغلب مصاعب الطريق همت بالتشويش يسلموا ثقافة القطيع,1,0,1,1,1
تجربتي الدراسة الجامعية كانت متميزة فقد ساعدتني تنمية ذاتي عدة اشياء اخرى حاليا قررة متابعة الدراسة سلك الدكتورة اصبح استاذة جامعية باذن الله لكني الوقت اشعر يتشتت افكاري عدم القدرة تحديد اريد,0,1,0,0,0
اشعر الاحيان بالندم معرفة الاشخاص المواقف الندم لايفيد شيء لذلك اتدارك نفسي افكر جيدا تجاوز الافكار السلبية احاول استفيد الاخطاء تزيد قوتي معرفتي بالاخرين,1,0,0,1,0
الازمة الصحية العالمية انقطاع الدراسة الحضوري تاثير بالرغم اعتماد سائل بديلة كالتعليم يبقى الارتباط بالواقع متميز بكل حيتياته تفاصيله تعرفنا المعنى الحقيقي لقيمة المكان الاشخاص,1,0,0,1,1
الدراسة مررت بعدة تجارب محطات الاجازة الماستر الدكتوراه كانت تجربة مليئة بالمعاناة الحياة الجامعية القاسية الوقت اجمل ايام الحياة سافرت الى المانيا تكوين جامعي كانت تجربة رائعة للغاية,0,1,0,1,1
لقد تغيرت شخصيتي مرور سنين الدراسة المرحلة شهدت تكوينا قويا لشخصيتي مرحلة الدكتوراه انني اكتسبت مجموعة المميزات كانت حاسمة اختياراتي الحياة,1,0,0,1,1
كانت عندي افكار مسبقة سلبية الكلية درست نظرا يقال محيطنا لانه دائما ارتباط الدراسة بالفشل الكسل الغباء لعدم الحصول نقطة مشرفة لولوج كلية اخرى النظرة المحبطة طرف المحيطين كلمات الاحتقار الاستهانة بقدراتنا المعرفية جعلت عقلي الباطني يصدق انني فاشلة استطع للاسف الاستمتاع بسنواتي الدراسية اصبحت تبدو اروع احلى الذكريات نظرا لنضجي تغيير نظرتي للحياة,0,0,1,0,0
حاليا اعمل بالوظيفة العمومية اتابع دراستي الدكتوراة يؤثر سلبا نفسيتي اعصابي توتر كبير ضيق الوقت افكر مرارا اترك الدراسة اخفف الضغط نفسيتي لكنني اتردد لكون الوظيفة مملة عادلة الاجر مقابل العمل,0,0,1,0,0
تجربتي الدراسة الجامعية كانت مبنية اختياراتي نظرا للنظرة الاجتماعية ينظر للمهندسين اجتياز الاسدس الاول ادركت فاىدة التذمر الشكوى لابد الاجتهاد العمل فعلته طوال سنوات دراستي الجامعية استطيع القول بانني احب افعل ادراني انني كنت ساظل احب احب طيلة السنوات لربما كنت سانتهي بنفس الاحساس,1,1,0,0,1
الاشياء احببتها الحياة الدي موارد المعلومات لانها تجعلني اشعر بالقوة السعادة خلال تجربتي الحياة اعتقدت تعيش الارض يجب يكون لديك شيئان السلطة التعليم يدك,1,0,1,1,0
افكر شيء حاليا احب عملي اشعر انني محظوظة احمد الله هده النعم الكثيرة بالنسبة للدراسة الجامعة كانت جيدة نوعا كانت الصعوبات,0,1,0,0,0
الجامعة مرحلة مهمة الحياة تعلمك الكثير الاشياء بينها الصبر الالتزام تكوين شخصية قوية تجديد الافكار يكمل دراسته الجامعة بالاحرى الاجازة فهو شخص عرف فكر مليا القرار رسم طريق طويل جدا لكنة مثمر نوعا سيحصد العديد الاشياء المستقبل رغم الثغرات الثعثرات يمكن تصادفة يسقط يقوم اخرى تجربة جميلة تعلمك الاعتماد نفسك تنمية الرصيد المعرفي بالعديد المعلومات الجديدة البحث المستمر التعمق العديد الاشياء خصوصا المتعلقة بمجال تخصصك,0,0,1,1,1
عام المدينة الكلية عموما امور البحث باس ربما اجد الصعوبات الاندماج الاخرين احيانا اجد صعوبة التعبير نفسي لانني شخص بطبعي اميل الى الانعزال انني افكر احيانا انني استطيع النجاح انني سافشل اشياء الامور تراودني,1,1,0,0,1
الدراسة بالجامعة الدراسة بسلكي الماستر الدكتوراه كانت بالنسبة تجربة جد متميزة اضافة الى حياتي الشئ الكثيراكتسبت خلال الفترة مهارات عدة سواء الجانب العلمي الجانب الشخصي المهني كطريقة التعامل الاخر تدبير الجانب العلائقيطريقة التعامل المشاكل طريقة التفكير السليم,0,0,0,1,0
طالب مسجل سلك الدكتوراه سنة خامسة جامعة سيدي محمد بن عبد الله الاشياء اومن مدى اهمية البحث تطوير الذات المجتمع رغم الظروف القاسية للبحث نمر بالعزيمة الارادة يذوب شئ,0,0,1,1,1
بشكل عام المرحلة الجامعية تختلف بشكل كلي المرحلة الثانوية عالمنا العربي الاختلاف يتضاعف غيره الدول فالمدارس الثانويات بشكل عام قائمة بشكل اساسي الكثير القوانين القواعد التلميذ التقيد فجاة يجد نفسه مكان يملك الكثير الحرية يجد نفسه مقيدا المسؤول نفسه قرار يتخذه سيتحمل مسؤوليته حده تجربة يمكنها تكون الافضل الاسوا حياتك الامر يعتمد,0,0,1,0,1
يومي مر متوترا قليلا لانه علي ارسل مقالا المدة الزمنية المحددة الحمد لله توفقت ارساله سبب توتري انني تركت العمل الى اخر لحظة يومي مر متوترا قليلا لانه علي ارسل مقالا المدة الزمنية المحددة الحمد لله توفقت ارساله سبب توتري انني تركت العمل الى اخر لحظة,0,0,1,1,1
الحياة اللجامعية تبني شخصية الانسان تساعده الانفتاح الاخرين العمل ينمي حس المسؤولية مهارات التخطيط العنل المكتبي الروتيني يقتل الابداع لهذا احاول متابعة الدراسة البحث ممارسة انشطة متنوعة الرياضة السفر لغات جديدة,0,0,0,0,1
المتعة الطريق الوصول الى القمة تقدير حب الذات ضروري حب الغير السلام الداخلي الفهم العميق للحياة يجعلك قادر مواكبة تسميه عراقيل الحقيقة فرصة نجاح,1,0,0,1,1
عبدة ربها صبورة جدا تحب الخير للجميع تشعر بالراحة مساعدتهم قيامي بعمل اسعى الى اتقانه ياخذ مني الوقت الاحيان اشعر اني قلقة اجهت مشكلة عصيبة جدا طاقتي,0,0,1,1,0
اشعر بانني مشوش الافكاار يشغل بالي كيفية اطروحة دكتورتي رغم اني اضييع كتيرا الوقت الهاتف الامور المجدية تماما احس اني اصبحت منافق اضن اريد قوله,0,0,1,0,1
اشعر بالوحدة الحنين الى الماضي نظرا لقلة الاصحاب حيي فاني نشيط اغلب الاحيان حيوي مليئ بالافكار الابداعية اسندت الي مهمة فاني احاول جاهدا اتمها اقوم الوجه الاكمل احب ابحث احاول افهم خبايا الظواهر الطبيعية,0,0,0,0,1
تجربتي الجامعية كانت غنية جدة لان اختياري لمادة الرياضيات حب شغف ساهم اعطاء لمسة سعادة تحقيق للذات خلال الدراسة الجامعية بدات حياتي المهنية كاستاذ للسلك الثانوي تخصص رياضيات مفتش ممتاز لنفس التخصص احب المغامرة البحث افاق جديدة اصدقائي رؤوس الاصابع افضل التواجد اسرتي الصغيرة شرب كاس قهوة صديق,0,0,1,1,0
تحديات صعوبات تجعل منك شخصا مكافحا لتصل الى اهدافك المهنية امضي ايامي الدراسات العلمية بالمختبر التكوينات التابعة لمركز الدكتوراة احيانا امل اقوم بالترفيه نفسي الاصداقاء زوجي خلال خرجات القيام بنزهة,0,1,0,0,1
اشعر بتشتت افكاري خلال الاونة الاخيرة اعد اعرف اريد ارغب عزلة تدوم فقط مدة اسبوع عزلة الاشياء الاشخاص لربما اعرف اريد يندثر التشتت,0,0,1,0,1
متميز امتلك روح الدعابة المغامرة احب اعتمد نفسي فهم الاشياء الدراسة احب افهم الدرس طريقتي طريقة الاخرين احس بالسعادة عندما اكون اشرح اساعد مجموعة الطلبةفي فهم الدرس,1,0,0,1,1
عمري عاما عندما ذهبت لاول الى كلية العلوم لتقديم قضيتي رفضتها العديد المدارس اردت القيام اليوم شعرت بالعديد المشاعر السلبية الحزن الحزن الشعور بالذنب الاكتئاب الخوف القلق الياس المشاعر جاءت الواقع افكار الاخرين لطالما سمعت الكلية باعتبارها متاهة مضيعة للوقت فقا لمن حولي تعطيني الكلية اريد يكن لدي خيار اخر اتكيف ظروف الكلية افتقد يوما لتجرب حظي اخرى المدارس اردتها الرغم الطاقة السلبية اطلقها حولي انني لحسن الحظ تمكنت الحفاظ حافزي قوتي خلال الايمان بالجهد الشخصي فجاة حددت هدفا الحصول دبلومات مدة واحدة مدتها سنوات منح رخصة ماجستير بينما اخبرني الغالبية مستحيل عندما يتعلق الامر بمجال الاحياء مجال غامض متنوع يتطلب جهدا عقليا ذاكرة جماعية كنت ازال قادرا تحقيق هدفي خلال تسخير صفاتي الانسانية الارادة الحديدية الثقة بالنفس الامل التحفيز الطموح لذلك وجدت يوجد شيء مستحيل عندما تريد يمكنك ايضا يجب تاخذ الاراء الشخصية للاخرين محمل الجد فمعظمهم لديهم مفاهيم خاطئة الكلية علمتني الكلية ابني افكاري الخاصة بناء تجربتي الخاصة جعلتني الكلية قوية قادرة تحقيق احلامي الامر الكلية تدعني اتخلى الامل اصبحت الجامعة بالنسبة منزلي الثاني للتعليم لانني بفضلها اكتسبت العديد المهارات لقد اوصى الكثير الناس باعادة البكالوريا بحجة اصلت دراستي الجامعة فلن يكون مستقبل طالب دكتوراه السنة الثانية اهدف الى منصب استاذ مساعد,0,0,0,1,0
حاليا راض الى حد ضعي لكنني متشغف للمزيد ارغب دائما التغيير تطوير ذاتي محيطي للافضل اشعر احيانا انني عاجز الحسم الاشياء مرور الوقت تقل ثقتي بالاخرين جد متفائل المستقبل يدفعني للاجتهاد المثابرة,1,0,0,0,0
مرت حياتي الجامعية احسن الاحوال تجربتي العمل الحمد لله رائعة لاكن اعاني مشاكل نفسية طفيفة المتعلقة بموضوع الزواج يمر يومي ظروف عادية فقط يجب التصدي لبعض المؤثرات,0,0,1,0,0
الحمد لله مرحلة البحث العلمي اهم المراحل حياة الانسان فخلالها يتم صوغ شخصية الانسان قالب الصبر المثابرة مواجهة الصعاب الشداىد تحمل الهموم المتاعب بحسن الظن بالله الاخذ بالاسباب تزول العقبات يصبح شاق يسيرا نسال الله التوفيق البركة لكل شباب باحثي المسلمين,0,0,0,1,0
تجربتي الجامعة تاتير مهم حياتي حيت خلالها تمكنت سقل مواهبي اكتشاف عالم اخر كدلك مكنتني تقوية شخصيتي هدا راجع لكثرة التجارب مررت يومي لحد يمر بهدوء حيت امارس مهمتي الموكلة راحة بطاقة اجابية,0,1,0,0,0
اصبحت اشعر بخلل شخصيتي بضعف جراء عدم استطاعتي قول احس باستغلال الاخرين استطيع تبديل الاسف يجعلني احس بالم نفسي كبير احس انني,0,1,1,1,0
نشات سط بعيد الدراسة يجب تنال تحقق يمكنك تحقيقه المجال تعترضك عوائق كبيرة جدا بالصمود الصبر ستصل تصبو اليه ستحاول تثابر الى تحقق مبتغاك مرحلة حياتك يجب تتحلى بالهدوء اجعل كرامتك اعتبار,1,0,1,1,0
مر رنا الاونة الاخيرة تغيرة اصبحت متقلبة المزاج عصبية اتقبل النصيحة هدا بسبب كرونا يجب اقوم بالرياضة اخرج هدا الر اليومي,1,1,1,1,1
اجد صعوبة التحدث يجول بخاطري اعتقد هدا راجع الى عدم الاستقرار الفكري الدي اعيشوه ماخرا اد امر بمرحلة فراغ ناتجة روتين قاتل زيادة انني توثر مستمر,1,1,0,0,1
العمل الطلبة الجامعة يشكل حافزا كبيرا للاستمرار العطاء بينما العمل المستشفى المرضى فهو يتسم بكثير القلق التوثر لعدم قدرتنا للاستجابة لمتطلباتهم الوقت الشكل المثاليين,1,0,1,0,1
اشعر اليوم بارتياح افضل الاسابيع الماضية اليوم مشمس الجو ربيعي استيقضت باكرا استانفت بحثي الرضا عامل مهم لتحقيق السعادة احيانا افكر المال اصبح عنصرا اساسيا لتحقيق السعادة الاستنتاج الاخير بدا يشوش علي حياتي خلال السنتين الاخيرتين ارجو يصفو ذهني خلال الايام القادمة,1,0,1,1,0
كانت تجربتي الجامعية اهم التجارب اثرت تكوين شخصيتي تحديد مستقبلي المهني عندما التحقت بالعمل بصفتي استاذا للتعليم العالي انخرطت بسرعة الفريق البيداغوجي فساهمت الى جانب زملائي تكوين الطلبة تاطيرهم انجاز المشاريع العلمية يتم اقتراحها يمر الاسبوع كله عمل تهييء الدروس تصحيح البحوث استكمال التكوين كتابة المقالات اعداد المداخلات يتخلل الاهتمام باسرتي تتبع سير تمدرس الابناء ممارسة انشطة رياضية مختلفة اجد نفسي مشغولا بمشاريع مهمة يجعلني مرتاحا نفسيا بدنيا,1,0,0,1,0
الدراسة شيء ممتع ينمي الاسان قدراته يعمل تحقيق ذاته ايضا تساعده يطمح تحقيق ذاته فالدراسة بالنسبة شيء رائع تساعدني فهم امور كتيرة ايضا تعطينا فكرة الحياة اليومية كيفية التعامل الاخرين,1,1,0,0,1
جد سعيد ممتن لانني بصحة جيدة عندي ابناء زوجة رائعين امتهن التدريس طلبتي يحبونني اكون جد سعيد عندما اكون داخل الفصل معهم عندي زملاء اصدقاء اقدرهم احترمهم يبالونني التقير الاحترامالحياة جميلة بسيطة,0,0,1,1,0
الحمد لله تجربتي بالجامعة بالدراسة عموما تجربة مرضية عندي تكونت خلالالها استفدت مجالات متعددة اكتسبت علاقات اجتماعية علمية مهنية كثيرة اثر محمود وسطي المهني الاجتماعي العالم الله فضله,1,1,0,1,1
قول الحق صعب اللامبالاة اصعب يجب الخروج منطقة الركود الراحة البحت جديد الابتعاد القيل القال الاهتمام بنفسك المقربين تمنحك السعادة الراحة التطلع الى جديد ميادين جديدة تجدد افكارك تطور ثقافتك احسن,1,1,0,1,1
يوم احس انني اغرق اكثر فاكثر مشاكل الحياه اليومية انني انسى نفسي شخصي افقد تركيز الاحيان اميل الى الكسل الغوص معاناتي الامي روتيني حس انني حدة العالم اهمه رغم انني اظهر العكس,0,1,1,0,0
التدريس الجامعة يعتبر تجربة غنية احاول توفير الظروف المناسبة لطلبتي الانفتاح التجارب العالمية الناجحة نقلها لتطوير طرق التدريس المناهج المرجو الاهتمام اكثر بالطلبة مصلحة المؤسسة المصلحة الشخصية الانتماء النقابي,1,0,1,1,1
امنت صغري بان قدرة الشخص بناء نفسه امر مفر لانه الاصل جوده فعملت التحقق فتم اردت التدريس بالنسبة القناة يمكن ابلغ خلالها للاخرين صحة الاعتقاد ساعدني تحقيق المبتغى حبي لمهنتي لمن اعلم فتوفقت تفوقت سعيت اليه بالمقارنة كنت اعمل اجله لازلت امل المزيد,1,0,1,1,1
عملي بالجامعة تجربة لمعرفة حولي فخدلت اشخاص كانوا اقرباء لقلبي فخذلونيلكني تعايشت الوضع ادركت مجال الصداقة العملبل الصفات اللتي تطغى اللانتهازييةالمكر الحسد,1,1,0,1,0
حياتي حالة فوضى اعرف الطريق يجب اسلكه اريد اكون شخصا ناجحا لكنني اجد المكان اشعر بالراحة متشائم اريد التغيير للافضل,0,1,0,0,0
الجامعة المكان تعلمنا مبادئ الحياة الاعتماد النفس المثابرة الاحتكاك بالاخرين الصبر البحث المعرفة لقد للجامعة دور كبير تكوين شخصيتنا مستقبلنا علاقتنا المحيط الاسري المهني العام,1,0,0,1,1
الاخلاق شئ مهم الحياة يمكن نتصور تقدم شعب بدونها نرتقي نصل الي المبتغى بالاخلاق يمكن للانسان ينمي القدرات يتعلم العلوم ليتمكن الاندماج,0,0,1,0,1
